shoesIDX,shoesID,pro_name
362,1012A156-500,GEL-NIMBUS 21
363,1012A156-701,GEL-NIMBUS 21
364,1012A158-001,GEL-DS TRAINER 24
365,1012A158-020,GEL-DS TRAINER 24
366,1012A158-700,GEL-DS TRAINER 24
367,1012A159-401,LYTERACER
368,1012A160-001,GEL-SONOMA 4
369,1012A160-003,GEL-SONOMA 4
370,1012A160-020,GEL-SONOMA 4
371,1012A160-400,GEL-SONOMA 4
372,1012A161-001,GT-2000 7 Trail
373,1012A161-300,GT-2000 7 Trail
374,1012A162-300,GT-2000 7 Trail Wide
375,1012A164-003,GEL-SONOMA 4 (D)
376,1012A167-020,Metarun
377,1012A168-100,DynaFlyte 3 Sound
378,1012A177-003,GEL-Sileo
379,1012A177-602,GEL-Sileo
380,1012A180-400,GEL-FUJITRABUCO 7
381,1012A180-500,GEL-FUJITRABUCO 7
382,1012A180-700,GEL-FUJITRABUCO 7
383,1012A186-020,GT-2000 7 Lite-Show
384,1012A188-020,JOLT 2 (D)
385,1012A189-020,GEL-Nimbus 21 Lite-Show
386,1012A191-400,GEL-SONOMA 4 G-TX
387,1012A218-020,GEL-Cumulus 20 LE
388,1012A230-100,DynaFlyte 3 SP
389,1012A231-020,GEL-CONTEND 5 (D)
390,1012A231-021,GEL-CONTEND 5 (D)
391,1012A231-401,GEL-CONTEND 5 (D)
392,1012A232-020,Roadhawk FF 2 MX
393,1012A232-700,Roadhawk FF 2 MX
394,1012A233-001,GEL-Cumulus 20 MX
395,1012A233-020,GEL-Cumulus 20 MX
396,1012A234-002,GEL-Contend 5
397,1012A234-003,GEL-Contend 5
398,1012A234-020,GEL-Contend 5
399,1012A234-021,GEL-Contend 5
400,1012A234-022,GEL-Contend 5
401,1012A234-101,GEL-Contend 5
402,1012A234-401,GEL-Contend 5
403,1012A235-001,GEL-Nimbus 21
404,1012A236-100,Patriot 10 Print
405,1012A239-001,GEL-Pursue 5
406,1012A239-400,GEL-Pursue 5
407,1012A241-001,GT-2000 7
408,1012A457-001,GEL-KAYANO 26
409,1012A457-002,GEL-KAYANO 26
410,1012A457-003,GEL-KAYANO 26
411,1012A457-020,GEL-KAYANO 26
412,1012A457-100,GEL-KAYANO 26
413,1012A457-400,GEL-KAYANO 26
414,1012A457-500,GEL-KAYANO 26
415,1012A459-001,GEL-KAYANO 26 (D)
416,1012A459-020,GEL-KAYANO 26 (D)
417,1012A459-400,GEL-KAYANO 26 (D)
418,1012A460-002,GT-1000 8
419,1012A460-020,GT-1000 8
420,1012A460-400,GT-1000 8
421,1012A460-401,GT-1000 8
422,1012A461-001,GT-1000 8 (D)
423,1012A461-401,GT-1000 8 (D)
424,1012A463-400,TARTHEREDGE
425,1012A463-401,TARTHEREDGE
426,1012A465-002,DYNAFLYTE 4
427,1012A465-100,DYNAFLYTE 4
428,1012A465-700,DYNAFLYTE 4
429,1012A467-001,GEL-PULSE 11
430,1012A467-300,GEL-PULSE 11
431,1012A467-400,GEL-PULSE 11
432,1012A467-401,GEL-PULSE 11
433,1012A467-700,GEL-PULSE 11
434,1012A468-001,GEL-CUMULUS 21
435,1012A468-002,GEL-CUMULUS 21
436,1012A468-003,GEL-CUMULUS 21
437,1012A468-020,GEL-CUMULUS 21
438,1012A468-400,GEL-CUMULUS 21
439,1012A468-500,GEL-CUMULUS 21
440,1012A469-003,GEL-CUMULUS 21 (D)
441,1012A469-020,GEL-CUMULUS 21 (D)
442,1012A471-020,GEL-Kayano 25
443,1012A471-500,GEL-Kayano 25
444,1012A474-001,GEL-SCRAM 5
445,1012A474-020,GEL-SCRAM 5
446,1012A474-400,GEL-SCRAM 5
447,1012A476-002,GEL-VENTURE 7
448,1012A476-020,GEL-VENTURE 7
449,1012A476-021,GEL-VENTURE 7
450,1012A476-400,GEL-VENTURE 7
451,1012A477-001,GEL-VENTURE 7 (D)
452,1012A477-002,GEL-VENTURE 7 (D)
453,1012A477-021,GEL-VENTURE 7 (D)
454,1012A480-500,Alpine XT 2
455,1012A482-400,GT-1000 8 G-TX
456,1012A497-100,Roadhawk FF 2 Urban Pack
457,1012A500-403,GEL-KAYANO 25 X MITA
458,1012A502-100,GEL-Nimbus 21 SP
459,1012A503-001,Roadhawk FF 2
460,1012A504-400,GEL-Venture 6 MX
461,1012A507-100,GEL-Excite 6 SP
